"","name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"1","Aaniiih Nakoda College","Montana","MT","Public","2 Year",NA,2380,2380,2380,2380
"2","Abilene Christian University","Texas","TX","Private","4 Year",10350,34850,45200,34850,45200
"3","Abraham Baldwin Agricultural College","Georgia","GA","Public","2 Year",8474,4128,12602,12550,21024
"4","Academy College","Minnesota","MN","For Profit","2 Year",NA,17661,17661,17661,17661
"5","Academy of Art University","California","CA","For Profit","4 Year",16648,27810,44458,27810,44458
"6","Adams State University","Colorado","CO","Public","4 Year",8782,9440,18222,20456,29238
"7","Adelphi University","New York","NY","Private","4 Year",16030,38660,54690,38660,54690
"8","Adirondack Community College","New York","NY","Public","2 Year",11660,5375,17035,9935,21595
"9","Adrian College","Michigan","MI","Private","4 Year",11318,37087,48405,37087,48405
"10","Advanced Technology Institute","Virginia","VA","For Profit","2 Year",NA,13680,13680,13680,13680
"11","Adventist University of Health Sciences","Florida","FL","Private","4 Year",4200,15150,19350,15150,19350
"12","Agnes Scott College","Georgia","GA","Private","4 Year",12330,41160,53490,41160,53490
"13","Aiken Technical College","South Carolina","SC","Public","2 Year",NA,5160,5160,8010,8010
"14","Aims Community College","Colorado","CO","Public","2 Year",NA,2281,2281,13018,13018
"15","Alabama Agricultural and Mechanical University","Alabama","AL","Public","4 Year",8379,9698,18077,17918,26297
"16","Alabama Southern Community College","Alabama","AL","Public","2 Year",NA,4440,4440,8880,8880
"17","Alabama State University","Alabama","AL","Public","4 Year",5422,11068,16490,19396,24818
"18","Alamance Community College","North Carolina","NC","Public","2 Year",NA,2310,2310,8070,8070
"19","Alaska Bible College","Alaska","AK","Private","4 Year",5700,9300,15000,9300,15000
"20","Alaska Pacific University","Alaska","AK","Private","4 Year",7300,20830,28130,20830,28130
"21","Albany College of Pharmacy and Health Sciences","New York","NY","Private","4 Year",10920,35105,46025,35105,46025
"22","Albany State University","Georgia","GA","Public","4 Year",8878,6726,15604,19802,28680
"23","Albany Technical College","Georgia","GA","Public","2 Year",NA,3246,3246,5916,5916
