"","type","year","tuition_type","tuition_cost"
"1","All Institutions","1985-86","All Constant",10893
"2","All Institutions","1985-86","4 Year Constant",12274
"3","All Institutions","1985-86","2 Year Constant",7508
"4","All Institutions","1985-86","All Current",4885
"5","All Institutions","1985-86","4 Year Current",5504
"6","All Institutions","1985-86","2 Year Current",3367
"7","All Institutions","1995-96","All Constant",13822
"8","All Institutions","1995-96","4 Year Constant",16224
"9","All Institutions","1995-96","2 Year Constant",7421
"10","All Institutions","1995-96","All Current",8800
"11","All Institutions","1995-96","4 Year Current",10330
"12","All Institutions","1995-96","2 Year Current",4725
"13","All Institutions","2000-01","All Constant",14995
"14","All Institutions","2000-01","4 Year Constant",17909
"15","All Institutions","2000-01","2 Year Constant",7576
"16","All Institutions","2000-01","All Current",10820
"17","All Institutions","2000-01","4 Year Current",12922
"18","All Institutions","2000-01","2 Year Current",5466
"19","All Institutions","2001-02","All Constant",15497
"20","All Institutions","2001-02","4 Year Constant",18573
"21","All Institutions","2001-02","2 Year Constant",7786
"22","All Institutions","2001-02","All Current",11380
"23","All Institutions","2001-02","4 Year Current",13639
"24","All Institutions","2001-02","2 Year Current",5718
"25","All Institutions","2002-03","All Constant",16008
"26","All Institutions","2002-03","4 Year Constant",19240
"27","All Institutions","2002-03","2 Year Constant",8331
"28","All Institutions","2002-03","All Current",12014
"29","All Institutions","2002-03","4 Year Current",14439
"30","All Institutions","2002-03","2 Year Current",6252
"31","All Institutions","2003-04","All Constant",16891
"32","All Institutions","2003-04","4 Year Constant",20218
"33","All Institutions","2003-04","2 Year Constant",8743
"34","All Institutions","2003-04","All Current",12953
"35","All Institutions","2003-04","4 Year Current",15505
"36","All Institutions","2003-04","2 Year Current",6705
"37","All Institutions","2004-05","All Constant",17460
"38","All Institutions","2004-05","4 Year Constant",20899
"39","All Institutions","2004-05","2 Year Constant",8982
"40","All Institutions","2004-05","All Current",13793
"41","All Institutions","2004-05","4 Year Current",16510
"42","All Institutions","2004-05","2 Year Current",7095
"43","All Institutions","2005-06","All Constant",17845
"44","All Institutions","2005-06","4 Year Constant",21281
"45","All Institutions","2005-06","2 Year Constant",8824
"46","All Institutions","2005-06","All Current",14634
"47","All Institutions","2005-06","4 Year Current",17451
"48","All Institutions","2005-06","2 Year Current",7236
"49","All Institutions","2006-07","All Constant",18404
"50","All Institutions","2006-07","4 Year Constant",21956
"51","All Institutions","2006-07","2 Year Constant",8874
"52","All Institutions","2006-07","All Current",15483
"53","All Institutions","2006-07","4 Year Current",18471
"54","All Institutions","2006-07","2 Year Current",7466
"55","All Institutions","2007-08","All Constant",18604
"56","All Institutions","2007-08","4 Year Constant",22194
